symbol	name	locus_group
GLC1N	glaucoma 1, open angle, N (juvenile-onset)	phenotype
GLC1P	glaucoma 1, open angle, P	phenotype
GLC1Q	glaucoma 1, open angle, Q	phenotype
GLC2A	glaucoma 2, angle closure	phenotype
GLC3B	glaucoma 3, primary infantile, B	phenotype
GLC3C	glaucoma 3, primary congenital, C	phenotype
GLCCI1	glucocorticoid induced 1	protein-coding gene
GLCCI1-DT	GLCCI1 divergent transcript	non-coding RNA
GLCE	glucuronic acid epimerase	protein-coding gene
GLDC	glycine decarboxylase	protein-coding gene
GLDCP1	glycine decarboxylase pseudogene 1	pseudogene
GLDN	gliomedin	protein-coding gene
GLE1	GLE1 RNA export mediator	protein-coding gene
GLG1	golgi glycoprotein 1	protein-coding gene
GLI1	GLI family zinc finger 1	protein-coding gene
GLI2	GLI family zinc finger 2	protein-coding gene
GLI3	GLI family zinc finger 3	protein-coding gene
GLI4	GLI family zinc finger 4	protein-coding gene
GLIDR	glioblastoma down-regulated RNA	non-coding RNA
GLIPR1	GLI pathogenesis related 1	protein-coding gene
GLIPR1L1	GLIPR1 like 1	protein-coding gene
GLIPR1L2	GLIPR1 like 2	protein-coding gene
GLIPR2	GLI pathogenesis related 2	protein-coding gene
GLIS1	GLIS family zinc finger 1	protein-coding gene
GLIS2	GLIS family zinc finger 2	protein-coding gene
GLIS2-AS1	GLIS2 antisense RNA 1	non-coding RNA
GLIS3	GLIS family zinc finger 3	protein-coding gene
GLIS3-AS1	GLIS3 antisense RNA 1	non-coding RNA
GLMN	glomulin, FKBP associated protein	protein-coding gene
GLMP	glycosylated lysosomal membrane protein	protein-coding gene
GLO1	glyoxalase I	protein-coding gene
GLOD4	glyoxalase domain containing 4	protein-coding gene
GLOD5	glyoxalase domain containing 5	protein-coding gene
GLP1R	glucagon like peptide 1 receptor	protein-coding gene
GLP2R	glucagon like peptide 2 receptor	protein-coding gene
GLRA1	glycine receptor alpha 1	protein-coding gene
GLRA2	glycine receptor alpha 2	protein-coding gene
GLRA3	glycine receptor alpha 3	protein-coding gene
GLRA4	glycine receptor alpha 4 (pseudogene)	pseudogene
GLRB	glycine receptor beta	protein-coding gene
GLRX	glutaredoxin	protein-coding gene
GLRX2	glutaredoxin 2	protein-coding gene
GLRX3	glutaredoxin 3	protein-coding gene
GLRX3P1	glutaredoxin 3 pseudogene 1	pseudogene
GLRX3P2	glutaredoxin 3 pseudogene 2	pseudogene
GLRX5	glutaredoxin 5	protein-coding gene
GLRXP1	glutaredoxin pseudogene 1	pseudogene
GLRXP2	glutaredoxin pseudogene 2	pseudogene
GLRXP3	glutaredoxin pseudogene 3	pseudogene
GLS	glutaminase	protein-coding gene
GLS2	glutaminase 2	protein-coding gene
GLT1D1	glycosyltransferase 1 domain containing 1	protein-coding gene
GLT6D1	glycosyltransferase 6 domain containing 1	protein-coding gene
GLT8D1	glycosyltransferase 8 domain containing 1	protein-coding gene
GLT8D2	glycosyltransferase 8 domain containing 2	protein-coding gene
GLTP	glycolipid transfer protein	protein-coding gene
GLTPD2	glycolipid transfer protein domain containing 2	protein-coding gene
GLTPP1	glycolipid transfer protein pseudogene 1	pseudogene
GLUD1	glutamate dehydrogenase 1	protein-coding gene
GLUD1P2	glutamate dehydrogenase 1 pseudogene 2	pseudogene
GLUD1P3	glutamate dehydrogenase 1 pseudogene 3	pseudogene
GLUD1P4	glutamate dehydrogenase 1 pseudogene 4	pseudogene
GLUD1P5	glutamate dehydrogenase 1 pseudogene 5	pseudogene
GLUD1P6	glutamate dehydrogenase 1 pseudogene 6	pseudogene
GLUD1P9	glutamate dehydrogenase 1 pseudogene 9	pseudogene
GLUD2	glutamate dehydrogenase 2	protein-coding gene
GLUL	glutamate-ammonia ligase	protein-coding gene
GLULP1	glutamate-ammonia ligase pseudogene 1	pseudogene
GLULP2	glutamate-ammonia ligase pseudogene 2	pseudogene
GLULP3	glutamate-ammonia ligase pseudogene 3	pseudogene
GLULP4	glutamate-ammonia ligase pseudogene 4	pseudogene
GLULP5	glutamate-ammonia ligase pseudogene 5	pseudogene
GLULP6	glutamate-ammonia ligase pseudogene 6	pseudogene
GLUR7	glutamate receptor, ionotropic, kainate 7	other
GLYAT	glycine-N-acyltransferase	protein-coding gene
GLYATL1	glycine-N-acyltransferase like 1	protein-coding gene
GLYATL1B	glycine-N-acyltransferase like 1B	protein-coding gene
GLYATL1P1	glycine-N-acyltransferase like 1 pseudogene 1	pseudogene
GLYATL1P2	glycine-N-acyltransferase like 1 pseudogene 2	pseudogene
GLYATL1P4	glycine-N-acyltransferase like 1 pseudogene 4	pseudogene
GLYATL2	glycine-N-acyltransferase like 2	protein-coding gene
GLYATL3	glycine-N-acyltransferase like 3	protein-coding gene
GLYB	glycine B complementing	phenotype
GLYCAM1	glycosylation dependent cell adhesion molecule 1 (pseudogene)	pseudogene
GLYCTK	glycerate kinase	protein-coding gene
GLYCTK-AS1	GLYCTK antisense RNA 1	non-coding RNA
GLYR1	glyoxylate reductase 1 homolog	protein-coding gene
GLYS1	glycosuria 1, renal	phenotype
GM2A	GM2 ganglioside activator	protein-coding gene
GM2AP1	GM2 ganglioside activator pseudogene 1	pseudogene
GM2AP2	GM2 ganglioside activator pseudogene 2	pseudogene
GMCL1	germ cell-less 1, spermatogenesis associated	protein-coding gene
GMCL1P2	GMCL1 pseudogene 2	pseudogene
GMCL2	germ cell-less 2, spermatogenesis associated	protein-coding gene
GMDS	GDP-mannose 4,6-dehydratase	protein-coding gene
GMDS-DT	GMDS divergent transcript	non-coding RNA
GMEB1	glucocorticoid modulatory element binding protein 1	protein-coding gene
GMEB2	glucocorticoid modulatory element binding protein 2	protein-coding gene
GMFA	glia maturation factor alpha	other
GMFB	glia maturation factor beta	protein-coding gene
GMFBP1	glia maturation factor beta pseudogene 1	pseudogene
GMFG	glia maturation factor gamma	protein-coding gene
GMIP	GEM interacting protein	protein-coding gene
GML	glycosylphosphatidylinositol anchored molecule like	protein-coding gene
GMNC	geminin coiled-coil domain containing	protein-coding gene
GMNN	geminin DNA replication inhibitor	protein-coding gene
GMPPA	GDP-mannose pyrophosphorylase A	protein-coding gene
GMPPB	GDP-mannose pyrophosphorylase B	protein-coding gene
GMPR	guanosine monophosphate reductase	protein-coding gene
GMPR2	guanosine monophosphate reductase 2	protein-coding gene
GMPS	guanine monophosphate synthase	protein-coding gene
GMPSP1	guanine monophosphate synthase pseudogene 1	pseudogene
GNA11	G protein subunit alpha 11	protein-coding gene
GNA12	G protein subunit alpha 12	protein-coding gene
GNA13	G protein subunit alpha 13	protein-coding gene
GNA13P1	GNA13 pseudogene 1	pseudogene
GNA14	G protein subunit alpha 14	protein-coding gene
GNA14-AS1	GNA14 antisense RNA 1	non-coding RNA
GNA15	G protein subunit alpha 15	protein-coding gene
GNAI1	G protein subunit alpha i1	protein-coding gene
GNAI2	G protein subunit alpha i2	protein-coding gene
GNAI2P1	G protein subunit alpha i2 pseudogene 1	pseudogene
GNAI2P2	G protein subunit alpha i2 pseudogene 2	pseudogene
GNAI3	G protein subunit alpha i3	protein-coding gene
GNAL	G protein subunit alpha L	protein-coding gene
GNAO1	G protein subunit alpha o1	protein-coding gene
GNAQ	G protein subunit alpha q	protein-coding gene
GNAQP1	G protein subunit alpha q pseudogene 1	pseudogene
GNAS	GNAS complex locus	protein-coding gene
GNAS-AS1	GNAS antisense RNA 1	non-coding RNA
GNAT1	G protein subunit alpha transducin 1	protein-coding gene
GNAT2	G protein subunit alpha transducin 2	protein-coding gene
GNAT3	G protein subunit alpha transducin 3	protein-coding gene
GNAZ	G protein subunit alpha z	protein-coding gene
GNB1	G protein subunit beta 1	protein-coding gene
GNB1L	G protein subunit beta 1 like	protein-coding gene
GNB2	G protein subunit beta 2	protein-coding gene
GNB3	G protein subunit beta 3	protein-coding gene
GNB4	G protein subunit beta 4	protein-coding gene
GNB5	G protein subunit beta 5	protein-coding gene
GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	protein-coding gene
GNG2	G protein subunit gamma 2	protein-coding gene
GNG3	G protein subunit gamma 3	protein-coding gene
GNG4	G protein subunit gamma 4	protein-coding gene
GNG5	G protein subunit gamma 5	protein-coding gene
GNG5P1	G protein subunit gamma 5 pseudogene 1	pseudogene
GNG5P2	G protein subunit gamma 5 pseudogene 2	pseudogene
GNG5P3	G protein subunit gamma 5 pseudogene 3	pseudogene
GNG5P4	G protein subunit gamma 5 pseudogene 4	pseudogene
GNG5P5	G protein subunit gamma 5 pseudogene 5	pseudogene
GNG7	G protein subunit gamma 7	protein-coding gene
GNG8	G protein subunit gamma 8	protein-coding gene
GNG10	G protein subunit gamma 10	protein-coding gene
GNG10P1	G protein subunit gamma 10 pseudogene 1	pseudogene
GNG11	G protein subunit gamma 11	protein-coding gene
GNG12	G protein subunit gamma 12	protein-coding gene
GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1	non-coding RNA
GNG13	G protein subunit gamma 13	protein-coding gene
GNG14	G protein subunit gamma 14	protein-coding gene
GNGT1	G protein subunit gamma transducin 1	protein-coding gene
GNGT2	G protein subunit gamma transducin 2	protein-coding gene
GNL1	G protein nucleolar 1 (putative)	protein-coding gene
GNL2	G protein nucleolar 2	protein-coding gene
GNL2P1	G protein nucleolar 2 pseudogene 1	pseudogene
GNL3	G protein nucleolar 3	protein-coding gene
GNL3L	G protein nucleolar 3 like	protein-coding gene
GNL3LP1	G protein nucleolar 3 like pseudogene 1	pseudogene
GNLY	granulysin	protein-coding gene
GNMT	glycine N-methyltransferase	protein-coding gene
GNPAT	glyceronephosphate O-acyltransferase	protein-coding gene
GNPATP	glyceronephosphate O-acyltransferase pseudogene	pseudogene
GNPDA1	glucosamine-6-phosphate deaminase 1	protein-coding gene
GNPDA2	glucosamine-6-phosphate deaminase 2	protein-coding gene
GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	protein-coding gene
GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta	protein-coding gene
GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma	protein-coding gene
GNRH1	gonadotropin releasing hormone 1	protein-coding gene
GNRH2	gonadotropin releasing hormone 2	protein-coding gene
GNRHR	gonadotropin releasing hormone receptor	protein-coding gene
GNRHR2	gonadotropin releasing hormone receptor 2 (pseudogene)	pseudogene
GNRHR2P1	GNRHR2 pseudogene 1	pseudogene
GNS	glucosamine (N-acetyl)-6-sulfatase	protein-coding gene
GOLGA1	golgin A1	protein-coding gene
GOLGA2	golgin A2	protein-coding gene
GOLGA2P1	GOLGA2 pseudogene 1	pseudogene
GOLGA2P2Y	GOLGA2 pseudogene 2 Y-linked	pseudogene
GOLGA2P3Y	GOLGA2 pseudogene 3 Y-linked	pseudogene
GOLGA2P4	GOLGA2 pseudogene 4	pseudogene
GOLGA2P5	GOLGA2 pseudogene 5	pseudogene
GOLGA2P6	GOLGA2 pseudogene 6	pseudogene
GOLGA2P7	GOLGA2 pseudogene 7	pseudogene
GOLGA2P8	GOLGA2 pseudogene 8	pseudogene
GOLGA2P9	GOLGA2 pseudogene 9	pseudogene
GOLGA2P10	GOLGA2 pseudogene 10	pseudogene
GOLGA2P11	GOLGA2 pseudogene 11	pseudogene
GOLGA3	golgin A3	protein-coding gene
GOLGA4	golgin A4	protein-coding gene
GOLGA4P1	golgin A4 pseudogene 1	pseudogene
GOLGA4P2	golgin A4 pseudogene 2	pseudogene
GOLGA4P3	golgin A4 pseudogene 3	pseudogene
GOLGA5	golgin A5	protein-coding gene
GOLGA5P1	golgin A5 pseudogene 1	pseudogene
GOLGA6A	golgin A6 family member A	protein-coding gene
GOLGA6B	golgin A6 family member B	protein-coding gene
GOLGA6C	golgin A6 family member C	protein-coding gene
GOLGA6D	golgin A6 family member D	protein-coding gene
GOLGA6L1	golgin A6 family like 1	protein-coding gene
GOLGA6L2	golgin A6 family like 2	protein-coding gene
GOLGA6L3	golgin A6 family like 3	other
GOLGA6L4	golgin A6 family like 4	protein-coding gene
GOLGA6L5P	golgin A6 family like 5, pseudogene	pseudogene
GOLGA6L6	golgin A6 family like 6	protein-coding gene
GOLGA6L7	golgin A6 family like 7	protein-coding gene
GOLGA6L9	golgin A6 family like 9	protein-coding gene
GOLGA6L10	golgin A6 family like 10	protein-coding gene
GOLGA6L11P	golgin A6 family like 11, pseudogene	pseudogene
GOLGA6L12P	golgin A6 family like 12, pseudogene	pseudogene
GOLGA6L13P	golgin A6 family like 13, pseudogene	pseudogene
GOLGA6L14P	golgin A6 family like 14, pseudogene	pseudogene
GOLGA6L16P	golgin A6 family like 16, pseudogene	pseudogene
GOLGA6L17P	golgin A6 family like 17, pseudogene	pseudogene
GOLGA6L19	golgin A6 family like 19	protein-coding gene
GOLGA6L22	golgin A6 family like 22	protein-coding gene
GOLGA7	golgin A7	protein-coding gene
GOLGA7B	golgin A7 family member B	protein-coding gene
GOLGA8A	golgin A8 family member A	protein-coding gene
GOLGA8B	golgin A8 family member B	protein-coding gene
GOLGA8CP	golgin A8 family member C, pseudogene	pseudogene
GOLGA8DP	golgin A8 family member D, pseudogene	pseudogene
GOLGA8EP	golgin A8 family member E, pseudogene	pseudogene
GOLGA8F	golgin A8 family member F	protein-coding gene
GOLGA8G	golgin A8 family member G	protein-coding gene
GOLGA8H	golgin A8 family member H	protein-coding gene
GOLGA8IP	golgin A8 family member I, pseudogene	pseudogene
GOLGA8J	golgin A8 family member J	protein-coding gene
GOLGA8K	golgin A8 family member K	protein-coding gene
GOLGA8M	golgin A8 family member M	protein-coding gene
GOLGA8N	golgin A8 family member N	protein-coding gene
GOLGA8O	golgin A8 family member O	protein-coding gene
GOLGA8Q	golgin A8 family member Q	protein-coding gene
GOLGA8R	golgin A8 family member R	protein-coding gene
GOLGA8S	golgin A8 family member S	protein-coding gene
GOLGA8T	golgin A8 family member T	protein-coding gene
GOLGA8UP	golgin A8 family member U, pseudogene	pseudogene
GOLGA8VP	golgin A8 family member V, pseudogene	pseudogene
GOLGB1	golgin B1	protein-coding gene
GOLIM4	golgi integral membrane protein 4	protein-coding gene
GOLM1	golgi membrane protein 1	protein-coding gene
GOLM2	golgi membrane protein 2	protein-coding gene
GOLPH3	golgi phosphoprotein 3	protein-coding gene
GOLPH3L	golgi phosphoprotein 3 like	protein-coding gene
GOLT1A	golgi transport 1A	protein-coding gene
GOLT1B	golgi transport 1B	protein-coding gene
GON4L	gon-4 like	protein-coding gene
GON7	GON7 subunit of KEOPS complex	protein-coding gene
GOPC	golgi associated PDZ and coiled-coil motif containing	protein-coding gene
GORAB	golgin, RAB6 interacting	protein-coding gene
GORAB-AS1	GORAB antisense RNA 1	non-coding RNA
GORASP1	golgi reassembly stacking protein 1	protein-coding gene
GORASP2	golgi reassembly stacking protein 2	protein-coding gene
GOSR1	golgi SNAP receptor complex member 1	protein-coding gene
GOSR2	golgi SNAP receptor complex member 2	protein-coding gene
GOT1	glutamic-oxaloacetic transaminase 1	protein-coding gene
GOT1L1	glutamic-oxaloacetic transaminase 1 like 1	protein-coding gene
GOT2	glutamic-oxaloacetic transaminase 2	protein-coding gene
GOT2P1	glutamic-oxaloacetic transaminase 2 pseudogene 1	pseudogene
GOT2P2	glutamic-oxaloacetic transaminase 2 pseudogene 2	pseudogene
GOT2P3	glutamic-oxaloacetic transaminase 2 pseudogene 3	pseudogene
GOT2P4	glutamic-oxaloacetic transaminase 2 pseudogene 4	pseudogene
GOT2P5	glutamic-oxaloacetic transaminase 2 pseudogene 5	pseudogene
GP1BA	glycoprotein Ib platelet subunit alpha	protein-coding gene
GP1BB	glycoprotein Ib platelet subunit beta	protein-coding gene
GP2	glycoprotein 2	protein-coding gene
GP5	glycoprotein V platelet	protein-coding gene
GP6	glycoprotein VI platelet	protein-coding gene
GP9	glycoprotein IX platelet	protein-coding gene
GPA33	glycoprotein A33	protein-coding gene
GPAA1	glycosylphosphatidylinositol anchor attachment 1	protein-coding gene
GPAA1P1	glycosylphosphatidylinositol anchor attachment 1 pseudogene 1	pseudogene
GPAA1P2	glycosylphosphatidylinositol anchor attachment 1 pseudogene 2	pseudogene
GPALPP1	GPALPP motifs containing 1	protein-coding gene
GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	protein-coding gene
GPANK1	G-patch domain and ankyrin repeats 1	protein-coding gene
GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial	protein-coding gene
GPAT2P1	glycerol-3-phosphate acyltransferase 2 pseudogene 1	pseudogene
GPAT2P2	glycerol-3-phosphate acyltransferase 2 pseudogene 2	pseudogene
GPAT3	glycerol-3-phosphate acyltransferase 3	protein-coding gene
GPAT4	glycerol-3-phosphate acyltransferase 4	protein-coding gene
GPATCH1	G-patch domain containing 1	protein-coding gene
GPATCH2	G-patch domain containing 2	protein-coding gene
GPATCH2L	G-patch domain containing 2 like	protein-coding gene
GPATCH3	G-patch domain containing 3	protein-coding gene
GPATCH4	G-patch domain containing 4	protein-coding gene
GPATCH8	G-patch domain containing 8	protein-coding gene
GPATCH11	G-patch domain containing 11	protein-coding gene
GPB	glycerol phosphatase, beta-	protein-coding gene
GPBAR1	G protein-coupled bile acid receptor 1	protein-coding gene
GPBP1	GC-rich promoter binding protein 1	protein-coding gene
GPBP1L1	GC-rich promoter binding protein 1 like 1	protein-coding gene
GPC1	glypican 1	protein-coding gene
GPC2	glypican 2	protein-coding gene
GPC3	glypican 3	protein-coding gene
GPC3-AS1	GPC3 antisense RNA 1	non-coding RNA
GPC4	glypican 4	protein-coding gene
GPC5	glypican 5	protein-coding gene
GPC5-AS1	GPC5 antisense RNA 1	non-coding RNA
GPC5-AS2	GPC5 antisense RNA 2	non-coding RNA
GPC5-IT1	GPC5 intronic transcript 1	non-coding RNA
GPC6	glypican 6	protein-coding gene
GPC6-AS1	GPC6 antisense RNA 1	non-coding RNA
GPC6-AS2	GPC6 antisense RNA 2	non-coding RNA
GPCPD1	glycerophosphocholine phosphodiesterase 1	protein-coding gene
GPD1	glycerol-3-phosphate dehydrogenase 1	protein-coding gene
GPD1L	glycerol-3-phosphate dehydrogenase 1 like	protein-coding gene
GPD2	glycerol-3-phosphate dehydrogenase 2	protein-coding gene
GPDS1	glaucoma-related pigment dispersion syndrome 1	phenotype
GPER1	G protein-coupled estrogen receptor 1	protein-coding gene
GPHA2	glycoprotein hormone subunit alpha 2	protein-coding gene
GPHB5	glycoprotein hormone subunit beta 5	protein-coding gene
GPHN	gephyrin	protein-coding gene
GPI	glucose-6-phosphate isomerase	protein-coding gene
GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	protein-coding gene
GPKOW	G-patch domain and KOW motifs	protein-coding gene
GPLD1	glycosylphosphatidylinositol specific phospholipase D1	protein-coding gene
GPM6A	glycoprotein M6A	protein-coding gene
GPM6B	glycoprotein M6B	protein-coding gene
GPM6BP1	glycoprotein M6B pseudogene 1	pseudogene
GPM6BP2	glycoprotein M6B pseudogene 2	pseudogene
GPM6BP3	glycoprotein M6B pseudogene 3	pseudogene
GPN1	GPN-loop GTPase 1	protein-coding gene
